word,meaning
allocate,割り当てる
hypothesis,仮説
coherent,一貫した
mitigate,和らげる
ambiguous,曖昧な
robust,強健な
adverse,不利な
negligible,無視できるほどの
constraint,制約
plausible,もっともらしい
provide,提供する、与える
merchant,商人
needle,針
fasten,（ベルトなどを）締める
mental,心（精神）の
object,目的、物体、反対する
produce,生産する、制作する、（集合的に）農産物
progress,進展、進捗する
finished,仕上がった、終わった
oxygen,酸素
alive,生きている
own,所有する
recommend,推薦する
diplomacy,外交
rainfall,降雨
rise,上がる、生じる
admirable,賞賛に値する
structure,構造、枠組み
upstairs,（しばしば　the～）階上、階上へ[で]
observatory,観測所、天文台、気象台
herbivore,草食動物
exercise,練習（問題）、体操、運動する、鍛える
lava,溶岩
territory,領地、地域
imagine,想像する
usage,使用法
grain,穀物、（砂などの）粒、（the～）木目
adopt,採用する
investment,投資
proposal,申し入れ
tool,道具、ツール
vibration,振動
previous,前の、以前の
treatment,扱い
scissors,（複数形で）はさみ
fireplace,暖炉
folk,民衆、人々
involve,巻き込む
poet,詩人
passenger,乗客、旅客
wage,賃金
ancestor,先祖
interrupt,さえぎる、妨害する
bank,土手、銀行
recover,回復する
carve,刻む
exclaim,叫ぶ、非難する
herb,（香草や薬草などの）ハーブ
hesitate,躊躇するためらう
X-ray,（通例～s）X線
grass,芝生、草、牧草
undertake,請け負う、着手する
recognize,認識する、認める
accomplish,成し遂げる、果たす
fond,好んで
tend,～の傾向がある
discussion,議論
humid,湿気のある
island,島
permanent,（半）永久的な、永続する
scholar,学者
later,後ほど、より最近の
fine,洗練された、申し分のない
carbon,炭素
decision,決定
broad,広い
freeze,凍る
creative,創造的な
furthermore,さらに
sufficient,十分な
affluent,豊富な
increase,増加する、増加
cheerfully,にこやかに
nearly,ほとんど
water,（植物などに）水をやる
skill,技能
illness,病気
vote,投票、投票する
saw,のこぎり
indeed,本当に、実に
require,要求する、必要とする
describe,述べる、記述する
parcel,小包
apparent,明らかな
official,公式の
navy,（しばしば the ～）海軍
sign,サインする、署名する
odor,匂い、香気
scent,香り
suppose,仮定する
brochure,子冊子、パンフレット
calm,穏やかな
tuition,授業料、指導、教授
trial,試み、裁判
countryside,（通例 the ～）田園地帯、田舎
clerk,事務員、フロント係
independence,独立
past,過去、過去の
sculpture,彫像
habitat,（動物や植物の）生息域
unable,～できない
tissue,（細胞の）組織
package,小包
aroma,香り、香気、気品
resemble,似ている
generate,発生させる、生み出す
complain,文句[苦情]を言う
compete,競争する
landscapepainting,風景画
blow,（風の）一吹き、（風が）吹く
religion,宗教
act,法令、行動
instantly,即座に
resist,	抵抗する
typical,典型的な
formal,公式の
equipment,機器、装置
excuse,言い訳、許す
fever,熱
restrict,制限する




